Epoch:0001, Train Accuracy=82.3133, Eval Accuracy=81.3000, log_likelyhood_train:-0.625142, log_likelyhood_val:-0.655512
Epoch:0021, Train Accuracy=92.8600, Eval Accuracy=89.9000, log_likelyhood_train:-0.260040, log_likelyhood_val:-0.373004
Epoch:0041, Train Accuracy=95.1600, Eval Accuracy=90.8000, log_likelyhood_train:-0.184400, log_likelyhood_val:-0.344057
Epoch:0061, Train Accuracy=96.8267, Eval Accuracy=91.4000, log_likelyhood_train:-0.137070, log_likelyhood_val:-0.331233
Epoch:0081, Train Accuracy=97.9600, Eval Accuracy=91.3000, log_likelyhood_train:-0.103815, log_likelyhood_val:-0.326138
Epoch:0101, Train Accuracy=98.6533, Eval Accuracy=91.5000, log_likelyhood_train:-0.079830, log_likelyhood_val:-0.325032
Epoch:0121, Train Accuracy=99.2067, Eval Accuracy=91.5000, log_likelyhood_train:-0.062309, log_likelyhood_val:-0.326834
Epoch:0141, Train Accuracy=99.4667, Eval Accuracy=91.7000, log_likelyhood_train:-0.049417, log_likelyhood_val:-0.330345
Epoch:0161, Train Accuracy=99.6600, Eval Accuracy=91.8000, log_likelyhood_train:-0.039875, log_likelyhood_val:-0.335119
Epoch:0181, Train Accuracy=99.8067, Eval Accuracy=91.8000, log_likelyhood_train:-0.032726, log_likelyhood_val:-0.340811
Epoch:0201, Train Accuracy=99.8733, Eval Accuracy=91.9000, log_likelyhood_train:-0.027335, log_likelyhood_val:-0.346945
Epoch:0221, Train Accuracy=99.9000, Eval Accuracy=92.0000, log_likelyhood_train:-0.023207, log_likelyhood_val:-0.353022
Epoch:0241, Train Accuracy=99.9267, Eval Accuracy=92.1000, log_likelyhood_train:-0.019984, log_likelyhood_val:-0.358930
Epoch:0261, Train Accuracy=99.9400, Eval Accuracy=92.2000, log_likelyhood_train:-0.017454, log_likelyhood_val:-0.364705
Epoch:0281, Train Accuracy=99.9467, Eval Accuracy=92.3000, log_likelyhood_train:-0.015433, log_likelyhood_val:-0.370262
Epoch:0301, Train Accuracy=99.9467, Eval Accuracy=92.3000, log_likelyhood_train:-0.013789, log_likelyhood_val:-0.375555
Epoch:0321, Train Accuracy=99.9533, Eval Accuracy=92.3000, log_likelyhood_train:-0.012434, log_likelyhood_val:-0.380479
Epoch:0341, Train Accuracy=99.9600, Eval Accuracy=92.3000, log_likelyhood_train:-0.011297, log_likelyhood_val:-0.385076
Epoch:0361, Train Accuracy=99.9600, Eval Accuracy=92.3000, log_likelyhood_train:-0.010330, log_likelyhood_val:-0.389340
Epoch:0381, Train Accuracy=99.9600, Eval Accuracy=92.3000, log_likelyhood_train:-0.009505, log_likelyhood_val:-0.393371
Epoch:0401, Train Accuracy=99.9600, Eval Accuracy=92.3000, log_likelyhood_train:-0.008791, log_likelyhood_val:-0.397100
Epoch:0421, Train Accuracy=99.9600, Eval Accuracy=92.3000, log_likelyhood_train:-0.008167, log_likelyhood_val:-0.400765
Epoch:0441, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.007622, log_likelyhood_val:-0.404272
Epoch:0461, Train Accuracy=99.9667, Eval Accuracy=92.2000, log_likelyhood_train:-0.007138, log_likelyhood_val:-0.407650
Epoch:0481, Train Accuracy=99.9667, Eval Accuracy=92.2000, log_likelyhood_train:-0.006709, log_likelyhood_val:-0.410895
Epoch:0501, Train Accuracy=99.9667, Eval Accuracy=92.2000, log_likelyhood_train:-0.006328, log_likelyhood_val:-0.413937
Epoch:0521, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.005983, log_likelyhood_val:-0.416926
Epoch:0541, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.005672, log_likelyhood_val:-0.419794
Epoch:0561, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.005394, log_likelyhood_val:-0.422523
Epoch:0581, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.005137, log_likelyhood_val:-0.425218
Epoch:0601, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.004902, log_likelyhood_val:-0.427744
Epoch:0621, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.004689, log_likelyhood_val:-0.430164
Epoch:0641, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.004495, log_likelyhood_val:-0.432503
Epoch:0661, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.004316, log_likelyhood_val:-0.434759
Epoch:0681, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.004151, log_likelyhood_val:-0.436997
Epoch:0701, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003999, log_likelyhood_val:-0.439169
Epoch:0721, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003858, log_likelyhood_val:-0.441253
Epoch:0741, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003726, log_likelyhood_val:-0.443314
Epoch:0761, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003604, log_likelyhood_val:-0.445294
Epoch:0781, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003490, log_likelyhood_val:-0.447154
Epoch:0801, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003384, log_likelyhood_val:-0.449080
Epoch:0821, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003284, log_likelyhood_val:-0.450888
Epoch:0841, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003191, log_likelyhood_val:-0.452642
Epoch:0861, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003102, log_likelyhood_val:-0.454359
Epoch:0881, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.003020, log_likelyhood_val:-0.456019
Epoch:0901, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.002942, log_likelyhood_val:-0.457690
Epoch:0921, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.002868, log_likelyhood_val:-0.459272
Epoch:0941, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.002799, log_likelyhood_val:-0.460772
Epoch:0961, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.002733, log_likelyhood_val:-0.462307
Epoch:0981, Train Accuracy=99.9667, Eval Accuracy=92.3000, log_likelyhood_train:-0.002671, log_likelyhood_val:-0.463806
Test Accuracy=90.9559
Test_Error: 246.00000000000009

